EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1631709015.707716,151291.000,24852,2,EA,1,100,0.029228
1631709015.772843,151356.000,24869,1,EA,1,100,0.029231
1631709015.838471,151421.500,24887,2,EA,1,100,0.029220
1631709015.904099,151487.000,24887,2,EA,1,100,0.029223
1631709015.968225,151551.000,24907,1,EA,1,100,0.029219
1631709016.032851,151615.500,24925,2,EA,1,100,0.029210
1631709016.097477,151680.000,24925,2,EA,1,100,0.029225
1631709016.163606,151746.000,24944,1,EA,1,100,0.029222
1631709016.229234,151811.500,24960,2,EA,1,100,0.029228
1631709016.294863,151877.000,24960,2,EA,1,100,0.029228
1631709016.360491,151942.500,24979,2,EA,1,100,0.029223
1631709016.426119,152008.000,24979,2,EA,1,100,0.029227
1631709016.491247,152073.000,24997,1,EA,1,100,0.029225
1631709016.556374,152138.000,25016,2,EA,1,100,0.029222
1631709016.621501,152203.000,25016,2,EA,1,100,0.029221
1631709016.687630,152269.000,25032,1,EA,1,100,0.029226
1631709016.753259,152334.500,25051,2,EA,1,100,0.029228
1631709016.818887,152400.000,25051,2,EA,1,100,0.029229
1631709016.884014,152465.000,25069,1,EA,1,100,0.029226
1631709016.949642,152530.500,25089,2,EA,1,100,0.029222
1631709017.015271,152596.000,25089,2,EA,1,100,0.029221
1631709017.080398,152661.000,25105,1,EA,1,100,0.029224
1631709017.145525,152726.000,25124,2,EA,1,100,0.029226
1631709017.210653,152791.000,25124,2,EA,1,100,0.029221
1631709017.275780,152856.000,25142,2,EA,1,100,0.029222
1631709017.340907,152921.000,25142,2,EA,1,100,0.029228
1631709017.407036,152987.000,25161,1,EA,1,100,0.029228
1631709017.471830,153051.667,25185,3,EA,1,100,0.029226
1631709017.536623,153116.333,25185,3,EA,1,100,0.029227
1631709017.601416,153181.000,25185,3,EA,1,100,0.029225
1631709017.667545,153247.000,25203,1,EA,1,100,0.029228
1631709017.733174,153312.500,25222,2,EA,1,100,0.029228
1631709017.798802,153378.000,25222,2,EA,1,100,0.029226
1631709017.864931,153444.000,25240,1,EA,1,100,0.029226
1631709017.930559,153509.500,25258,2,EA,1,100,0.029227
1631709017.996188,153575.000,25258,2,EA,1,100,0.029228
1631709018.060814,153639.500,25276,2,EA,1,100,0.029218
1631709018.125440,153704.000,25276,2,EA,1,100,0.029224
1631709018.189565,153768.000,25295,1,EA,1,100,0.029223
1631709018.255695,153834.000,25313,2,EA,1,100,0.029220
