EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1631709017.362449,152942.500,25158,2,PI,1,100,158850
1631709017.403028,152983.000,25158,2,PI,1,100,158843
1631709017.442105,153022.000,25182,5,PI,1,100,158897
1631709017.481181,153061.000,25182,5,PI,1,100,158952
1631709017.520257,153100.000,25182,5,PI,1,100,158996
1631709017.559334,153139.000,25182,5,PI,1,100,159018
1631709017.598410,153178.000,25182,5,PI,1,100,158947
1631709017.636485,153216.000,25200,3,PI,1,100,158912
1631709017.674559,153254.000,25200,3,PI,1,100,158839
1631709017.712633,153292.000,25200,3,PI,1,100,158756
1631709017.754215,153333.500,25219,2,PI,1,100,158679
1631709017.795796,153375.000,25219,2,PI,1,100,158606
1631709017.833870,153413.000,25237,3,PI,1,100,158590
1631709017.871945,153451.000,25237,3,PI,1,100,158564
1631709017.910019,153489.000,25237,3,PI,1,100,158562
1631709017.951099,153530.000,25255,2,PI,1,100,158562
1631709017.992180,153571.000,25255,2,PI,1,100,158562
1631709018.029920,153608.667,25273,3,PI,1,100,158586
1631709018.067661,153646.333,25273,3,PI,1,100,158612
1631709018.105401,153684.000,25273,3,PI,1,100,158591
1631709018.145980,153724.500,25292,2,PI,1,100,158633
1631709018.186560,153765.000,25292,2,PI,1,100,158647
1631709018.224968,153803.333,25310,3,PI,1,100,158612
1631709018.263376,153841.667,25310,3,PI,1,100,158543
1631709018.301785,153880.000,25310,3,PI,1,100,158496
1631709018.342865,153921.000,25327,2,PI,1,100,158504
1631709018.383945,153962.000,25327,2,PI,1,100,158487
1631709018.422020,154000.000,25345,3,PI,1,100,158510
1631709018.460094,154038.000,25345,3,PI,1,100,158516
1631709018.498168,154076.000,25345,3,PI,1,100,158503
1631709018.541587,154119.333,25364,3,PI,1,100,158541
1631709018.585005,154162.667,25364,3,PI,1,100,158588
1631709018.628423,154206.000,25364,3,PI,1,100,158614
