EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1631709010.214647,145808.667,23885,3,PG,1,100,9260
1631709010.253390,145847.333,23885,3,PG,1,100,9271
1631709010.292132,145886.000,23885,3,PG,1,100,9283
1631709010.332211,145926.000,23903,2,PG,1,100,9290
1631709010.372289,145966.000,23903,2,PG,1,100,9300
1631709010.410697,146004.333,23922,3,PG,1,100,9302
1631709010.449106,146042.667,23922,3,PG,1,100,9289
1631709010.487514,146081.000,23922,3,PG,1,100,9270
1631709010.530932,146124.333,23940,3,PG,1,100,9254
1631709010.574350,146167.667,23940,3,PG,1,100,9254
1631709010.617769,146211.000,23940,3,PG,1,100,9245
1631709010.650332,146243.500,23957,2,PG,1,100,9241
1631709010.682896,146276.000,23957,2,PG,1,100,9247
1631709010.726648,146319.667,23975,3,PG,1,100,9250
1631709010.770400,146363.333,23975,3,PG,1,100,9254
1631709010.814152,146407.000,23975,3,PG,1,100,9257
1631709010.847217,146440.000,23994,2,PG,1,100,9267
1631709010.880281,146473.000,23994,2,PG,1,100,9272
1631709010.923700,146516.333,24012,3,PG,1,100,9288
1631709010.967118,146559.667,24012,3,PG,1,100,9283
1631709011.010536,146603.000,24012,3,PG,1,100,9296
1631709011.048944,146641.333,24032,3,PG,1,100,9301
1631709011.087353,146679.667,24032,3,PG,1,100,9302
1631709011.125761,146718.000,24032,3,PG,1,100,9283
1631709011.166341,146758.500,24048,2,PG,1,100,9267
1631709011.206920,146799.000,24048,2,PG,1,100,9248
1631709011.244994,146837.000,24067,3,PG,1,100,9241
1631709011.283069,146875.000,24067,3,PG,1,100,9229
1631709011.321143,146913.000,24067,3,PG,1,100,9229
1631709011.362223,146954.000,24085,2,PG,1,100,9235
1631709011.403304,146995.000,24085,2,PG,1,100,9230
1631709011.441378,147033.000,24104,3,PG,1,100,9234
1631709011.479452,147071.000,24104,3,PG,1,100,9238
1631709011.517527,147109.000,24104,3,PG,1,100,9241
1631709011.558607,147150.000,24120,2,PG,1,100,9250
1631709011.599687,147191.000,24120,2,PG,1,100,9263
1631709011.638096,147229.333,24139,3,PG,1,100,9272
1631709011.676504,147267.667,24139,3,PG,1,100,9282
1631709011.714913,147306.000,24139,3,PG,1,100,9292
