EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1631709027.111000,162672.000,26900,1,T0,1,100,28.858
1631709027.241255,162802.000,26918,1,T0,1,100,28.853
1631709027.370507,162931.000,26937,1,T0,1,100,28.869
1631709027.500762,163061.000,26955,1,T0,1,100,28.880
1631709027.633020,163193.000,26990,1,T0,1,100,28.858
1631709027.763275,163323.000,27015,1,T0,1,100,28.869
1631709027.893529,163453.000,27033,1,T0,1,100,28.842
1631709028.022782,163582.000,27052,1,T0,1,100,28.869
1631709028.155040,163714.000,27087,1,T0,1,100,28.858
1631709028.285295,163844.000,27105,1,T0,1,100,28.832
1631709028.416551,163975.000,27124,1,T0,1,100,28.858
1631709028.546806,164105.000,27159,1,T0,1,100,28.875
1631709028.679065,164237.000,27177,1,T0,1,100,28.848
1631709028.809319,164367.000,27197,1,T0,1,100,28.880
1631709028.939574,164497.000,27232,1,T0,1,100,28.869
1631709029.068826,164626.000,27250,1,T0,1,100,28.880
1631709029.200083,164757.000,27269,1,T0,1,100,28.864
1631709029.332341,164889.000,27287,1,T0,1,100,28.864
1631709029.462596,165019.000,27322,1,T0,1,100,28.837
1631709029.593852,165150.000,27341,1,T0,1,100,28.891
1631709029.726110,165282.000,27360,1,T0,1,100,28.869
1631709029.857367,165413.000,27395,1,T0,1,100,28.875
1631709029.987622,165543.000,27414,1,T0,1,100,28.907
1631709030.117876,165673.000,27432,1,T0,1,100,28.885
1631709030.248131,165803.000,27451,1,T0,1,100,28.885
1631709030.380389,165935.000,27486,1,T0,1,100,28.896
1631709030.510644,166065.000,27504,1,T0,1,100,28.842
1631709030.640898,166195.000,27523,1,T0,1,100,28.891
1631709030.771153,166325.000,27559,1,T0,1,100,28.853
1631709030.902409,166456.000,27577,1,T0,1,100,28.864
1631709031.033666,166587.000,27596,1,T0,1,100,28.869
1631709031.163920,166717.000,27614,1,T0,1,100,28.885
