EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1631709012.467383,148057.000,24269,3,PR,1,100,121071
1631709012.499947,148089.500,24288,2,PR,1,100,121061
1631709012.532510,148122.000,24288,2,PR,1,100,121060
1631709012.576262,148165.667,24304,3,PR,1,100,121053
1631709012.620015,148209.333,24304,3,PR,1,100,121060
1631709012.663767,148253.000,24304,3,PR,1,100,121044
1631709012.702175,148291.333,24323,3,PR,1,100,121059
1631709012.740584,148329.667,24323,3,PR,1,100,121058
1631709012.778992,148368.000,24323,3,PR,1,100,121066
1631709012.818569,148407.500,24341,2,PR,1,100,121077
1631709012.858147,148447.000,24341,2,PR,1,100,121062
1631709012.897223,148486.000,24360,3,PR,1,100,121060
1631709012.936299,148525.000,24360,3,PR,1,100,121069
1631709012.975376,148564.000,24360,3,PR,1,100,121087
1631709013.015955,148604.500,24377,2,PR,1,100,121093
1631709013.056534,148645.000,24377,2,PR,1,100,121075
1631709013.094943,148683.333,24396,3,PR,1,100,121075
1631709013.133351,148721.667,24396,3,PR,1,100,121094
1631709013.171760,148760.000,24396,3,PR,1,100,121098
1631709013.212339,148800.500,24414,2,PR,1,100,121089
1631709013.252918,148841.000,24414,2,PR,1,100,121078
1631709013.290992,148879.000,24433,3,PR,1,100,121103
1631709013.329067,148917.000,24433,3,PR,1,100,121110
1631709013.367141,148955.000,24433,3,PR,1,100,121106
1631709013.405884,148993.667,24451,3,PR,1,100,121103
1631709013.444626,149032.333,24451,3,PR,1,100,121092
1631709013.483368,149071.000,24451,3,PR,1,100,121115
1631709013.524449,149112.000,24468,2,PR,1,100,121121
1631709013.565529,149153.000,24468,2,PR,1,100,121115
1631709013.602936,149190.333,24486,3,PR,1,100,121116
1631709013.640342,149227.667,24486,3,PR,1,100,121137
1631709013.677748,149265.000,24486,3,PR,1,100,121125
1631709013.719330,149306.500,24505,2,PR,1,100,121140
1631709013.760911,149348.000,24505,2,PR,1,100,121137
1631709013.798651,149385.667,24523,3,PR,1,100,121137
1631709013.836392,149423.333,24523,3,PR,1,100,121130
1631709013.874132,149461.000,24523,3,PR,1,100,121113
1631709013.912540,149499.333,24540,3,PR,1,100,121116
1631709013.950949,149537.667,24540,3,PR,1,100,121119
1631709013.989357,149576.000,24540,3,PR,1,100,121131
1631709014.030438,149617.000,24559,2,PR,1,100,121126
1631709014.071518,149658.000,24559,2,PR,1,100,121122
1631709014.109258,149695.667,24578,3,PR,1,100,121131
1631709014.146999,149733.333,24578,3,PR,1,100,121138
1631709014.184739,149771.000,24578,3,PR,1,100,121135
1631709014.225819,149812.000,24596,2,PR,1,100,121145
1631709014.266900,149853.000,24596,2,PR,1,100,121144
1631709014.304974,149891.000,24615,3,PR,1,100,121165
1631709014.343049,149929.000,24615,3,PR,1,100,121170
1631709014.381123,149967.000,24615,3,PR,1,100,121167
1631709014.418863,150004.667,24631,3,PR,1,100,121168
1631709014.456604,150042.333,24631,3,PR,1,100,121149
1631709014.494344,150080.000,24631,3,PR,1,100,121152
1631709014.535925,150121.500,24650,2,PR,1,100,121128
1631709014.577507,150163.000,24650,2,PR,1,100,121139
1631709014.615247,150200.667,24668,3,PR,1,100,121146
1631709014.652987,150238.333,24668,3,PR,1,100,121146
1631709014.690728,150276.000,24668,3,PR,1,100,121143
1631709014.731307,150316.500,24687,2,PR,1,100,121143
1631709014.771887,150357.000,24687,2,PR,1,100,121140
1631709014.809961,150395.000,24703,3,PR,1,100,121151
